Runtime (ms):,61905
Average checktime (ms):,14.672167
Cubesize:,100
Devisions:,4
Total cells:,64

Time per collision check(ms),TimeStamp,Collisions Checked,Collisions
14,10556,1384,359
15,10571,1346,350
14,10585,1334,349
15,10600,1360,355
15,10615,1372,357
14,10629,1375,356
15,10644,1367,359
15,10659,1315,348
15,10674,1339,355
14,10688,1331,354
15,10703,1255,344
15,10718,1270,346
15,10733,1367,359
15,10748,1381,360
15,10763,1344,349
15,10778,1351,353
15,10793,1361,353
15,10808,1322,351
15,10823,1314,349
15,10838,1350,353
15,10853,1343,350
15,10868,1355,352
14,10882,1479,368
15,10897,1441,362
15,10912,1387,352
15,10927,1419,357
15,10942,1396,355
14,10956,1372,351
15,10971,1362,350
15,10986,1344,347
15,11001,1338,348
15,11016,1436,367
15,11031,1434,369
15,11046,1363,356
15,11061,1376,358
15,11076,1388,357
15,11091,1343,353
14,11105,1312,349
15,11120,1390,361
15,11135,1352,356
14,11149,1374,359
15,11164,1384,360
14,11178,1398,358
15,11193,1394,359
15,11208,1361,355
15,11223,1336,350
15,11238,1270,341
14,11252,1277,344
15,11267,1299,346
15,11282,1314,351
15,11297,1354,353
15,11312,1333,351
15,11327,1356,352
15,11342,1384,358
15,11357,1350,350
15,11372,1317,349
15,11387,1333,348
15,11402,1380,357
15,11417,1380,356
14,11431,1334,351
15,11446,1312,350
15,11461,1335,354
15,11476,1443,365
15,11491,1456,365
15,11506,1435,364
15,11521,1379,359
15,11536,1312,348
15,11551,1305,346
14,11565,1376,353
16,11581,1369,351
15,11596,1298,343
15,11611,1232,333
15,11626,1279,342
15,11641,1332,345
15,11656,1323,344
15,11671,1333,344
15,11686,1376,351
15,11701,1337,342
15,11716,1357,342
15,11731,1333,342
15,11746,1337,343
15,11761,1349,345
14,11775,1324,341
14,11789,1331,337
15,11804,1360,343
15,11819,1363,342
14,11833,1410,348
15,11848,1386,348
15,11863,1395,345
15,11878,1409,345
14,11892,1385,344
14,11906,1367,343
15,11921,1334,341
14,11935,1386,348
14,11949,1403,350
14,11963,1354,346
14,11977,1327,342
14,11991,1384,351
14,12005,1291,339
15,12020,1329,347
15,12035,1312,344
14,12049,1290,342
15,12064,1298,343
15,12079,1270,337
15,12094,1264,336
14,12108,1251,335
15,12123,1266,335
14,12137,1307,348
14,12151,1257,339
15,12166,1280,340
15,12181,1229,333
14,12195,1183,331
15,12210,1230,339
15,12225,1294,346
15,12240,1226,336
15,12255,1231,335
14,12269,1198,330
14,12283,1199,334
14,12297,1188,330
14,12311,1189,330
15,12326,1201,334
15,12341,1230,341
15,12356,1181,332
15,12371,1203,335
15,12386,1190,335
15,12401,1216,335
15,12416,1262,342
15,12431,1353,352
15,12446,1309,344
15,12461,1301,338
14,12475,1310,339
15,12490,1240,333
15,12505,1211,320
14,12519,1223,323
15,12534,1274,330
15,12549,1261,329
15,12564,1324,336
15,12579,1256,330
14,12593,1257,334
15,12608,1241,333
14,12622,1227,336
15,12637,1174,325
15,12652,1174,329
15,12667,1160,328
14,12681,1154,325
14,12695,1167,326
14,12709,1203,332
14,12723,1154,323
14,12737,1155,325
14,12751,1186,332
15,12766,1200,330
15,12781,1225,336
14,12795,1242,339
14,12809,1205,332
15,12824,1196,330
15,12839,1280,346
15,12854,1270,346
14,12868,1239,339
15,12883,1269,344
15,12898,1235,339
14,12912,1176,326
15,12927,1238,339
15,12942,1273,340
14,12956,1250,338
15,12971,1277,343
15,12986,1246,335
15,13001,1280,343
14,13015,1243,338
15,13030,1202,332
15,13045,1216,335
15,13060,1256,342
15,13075,1253,342
15,13090,1296,350
15,13105,1333,356
14,13119,1306,350
14,13133,1284,343
14,13147,1272,342
15,13162,1260,337
15,13177,1263,337
14,13191,1215,328
14,13205,1202,324
15,13220,1224,327
15,13235,1305,342
15,13250,1313,341
15,13265,1333,345
14,13279,1323,347
15,13294,1304,344
14,13308,1291,343
15,13323,1308,342
14,13337,1284,340
14,13351,1317,345
15,13366,1408,355
14,13380,1390,355
15,13395,1340,349
14,13409,1347,353
15,13424,1321,349
16,13440,1392,360
15,13455,1409,367
14,13469,1357,357
14,13483,1289,348
15,13498,1290,349
15,13513,1341,358
15,13528,1367,358
14,13542,1446,369
15,13557,1392,358
15,13572,1498,372
15,13587,1458,366
15,13602,1390,357
15,13617,1420,358
14,13631,1412,355
15,13646,1377,351
15,13661,1399,360
15,13676,1335,349
15,13691,1309,347
15,13706,1406,361
14,13720,1410,358
14,13734,1316,341
14,13748,1337,351
14,13762,1317,349
15,13777,1288,343
14,13791,1321,348
15,13806,1363,358
15,13821,1306,346
15,13836,1255,341
15,13851,1284,342
15,13866,1308,349
15,13881,1303,347
15,13896,1318,351
15,13911,1308,348
15,13926,1269,338
14,13940,1276,340
15,13955,1291,342
15,13970,1277,339
15,13985,1381,355
15,14000,1401,358
14,14014,1320,347
15,14029,1310,343
14,14043,1289,344
14,14057,1288,341
14,14071,1300,347
14,14085,1333,350
15,14100,1328,348
15,14115,1435,361
15,14130,1451,364
15,14145,1416,356
15,14160,1340,344
15,14175,1308,343
15,14190,1333,349
15,14205,1338,354
15,14220,1337,355
15,14235,1305,348
14,14249,1301,345
14,14263,1331,350
15,14278,1286,341
15,14293,1362,354
15,14308,1380,356
14,14322,1411,364
16,14338,1479,371
15,14353,1425,359
15,14368,1344,354
15,14383,1322,350
15,14398,1305,349
15,14413,1353,356
14,14427,1343,355
14,14441,1312,349
15,14456,1279,344
15,14471,1277,341
14,14485,1334,351
15,14500,1400,361
15,14515,1373,352
14,14529,1365,352
15,14544,1357,350
15,14559,1370,346
15,14574,1399,352
15,14589,1392,354
15,14604,1406,353
15,14619,1427,360
16,14635,1418,360
14,14649,1337,348
14,14663,1336,347
14,14677,1328,349
14,14691,1338,352
15,14706,1356,359
15,14721,1324,356
15,14736,1267,348
16,14752,1246,346
15,14767,1301,354
15,14782,1277,350
15,14797,1261,349
15,14812,1270,352
14,14826,1278,353
14,14840,1303,356
15,14855,1300,354
14,14869,1276,345
15,14884,1267,347
14,14898,1297,352
15,14913,1291,349
15,14928,1309,355
15,14943,1308,354
15,14958,1290,350
15,14973,1287,345
15,14988,1288,349
14,15002,1252,339
14,15016,1261,342
15,15031,1305,350
15,15046,1247,338
15,15061,1263,338
14,15075,1246,337
14,15089,1276,343
15,15104,1303,348
14,15118,1292,345
14,15132,1238,341
15,15147,1255,344
15,15162,1278,348
15,15177,1295,352
15,15192,1305,353
15,15207,1321,353
15,15222,1303,347
15,15237,1312,349
15,15252,1297,348
15,15267,1311,351
15,15282,1387,360
14,15296,1308,350
15,15311,1335,355
15,15326,1380,361
15,15341,1345,354
15,15356,1287,348
14,15370,1349,356
15,15385,1339,354
15,15400,1366,354
14,15414,1324,349
15,15429,1283,345
15,15444,1263,342
15,15459,1275,345
15,15474,1308,350
15,15489,1315,352
15,15504,1289,347
15,15519,1247,341
14,15533,1279,342
15,15548,1292,345
15,15563,1246,339
15,15578,1199,334
15,15593,1186,332
14,15607,1318,353
14,15621,1308,352
15,15636,1231,341
14,15650,1228,338
15,15665,1139,325
15,15680,1137,327
14,15694,1139,329
14,15708,1146,330
15,15723,1115,324
14,15737,1142,328
15,15752,1201,339
15,15767,1214,343
14,15781,1190,338
14,15795,1135,327
14,15809,1134,329
15,15824,1124,331
14,15838,1156,335
15,15853,1164,333
14,15867,1184,333
15,15882,1181,330
14,15896,1203,335
15,15911,1185,328
15,15926,1164,326
14,15940,1155,326
14,15954,1147,325
15,15969,1198,331
14,15983,1171,328
14,15997,1172,328
15,16012,1200,329
14,16026,1185,327
15,16041,1165,331
14,16055,1162,329
14,16069,1207,337
15,16084,1258,348
15,16099,1158,330
15,16114,1115,325
14,16128,1159,334
15,16143,1202,339
15,16158,1178,332
15,16173,1221,340
15,16188,1284,348
14,16202,1197,335
15,16217,1224,338
14,16231,1230,339
14,16245,1206,337
14,16259,1133,329
15,16274,1097,325
14,16288,1109,329
15,16303,1124,332
15,16318,1182,338
14,16332,1181,339
15,16347,1232,348
15,16362,1214,344
15,16377,1246,347
14,16391,1197,343
14,16405,1176,337
14,16419,1160,332
15,16434,1152,333
14,16448,1174,335
14,16462,1178,335
15,16477,1211,339
15,16492,1261,343
15,16507,1281,348
15,16522,1246,342
15,16537,1252,340
14,16551,1265,344
15,16566,1278,347
15,16581,1278,345
14,16595,1236,345
15,16610,1244,344
14,16624,1246,344
15,16639,1209,339
15,16654,1241,343
14,16668,1244,343
14,16682,1273,344
15,16697,1341,356
15,16712,1327,356
15,16727,1329,354
15,16742,1295,350
15,16757,1253,345
15,16772,1251,344
15,16787,1256,348
14,16801,1282,348
14,16815,1256,344
15,16830,1269,347
14,16844,1298,351
14,16858,1244,346
15,16873,1228,341
15,16888,1257,345
15,16903,1265,340
14,16917,1268,342
15,16932,1293,343
14,16946,1284,340
14,16960,1275,341
14,16974,1234,336
15,16989,1264,339
15,17004,1274,346
15,17019,1300,352
15,17034,1304,353
15,17049,1281,350
15,17064,1250,345
15,17079,1319,355
14,17093,1293,347
15,17108,1290,346
15,17123,1276,341
15,17138,1237,337
14,17152,1217,337
14,17166,1271,344
15,17181,1288,348
15,17196,1277,345
15,17211,1262,340
15,17226,1259,340
14,17240,1262,342
15,17255,1310,347
15,17270,1318,348
15,17285,1316,346
14,17299,1323,346
14,17313,1319,347
15,17328,1310,346
15,17343,1291,346
15,17358,1307,346
15,17373,1268,340
15,17388,1300,345
15,17403,1277,345
15,17418,1295,350
15,17433,1305,349
14,17447,1283,346
15,17462,1240,342
14,17476,1217,336
15,17491,1300,352
16,17507,1366,359
15,17522,1263,342
15,17537,1151,325
14,17551,1162,330
14,17565,1286,348
15,17580,1368,361
15,17595,1305,352
15,17610,1277,344
15,17625,1256,342
15,17640,1258,343
15,17655,1298,347
16,17671,1265,341
14,17685,1217,336
15,17700,1210,337
14,17714,1258,344
15,17729,1288,349
15,17744,1288,344
14,17758,1301,348
15,17773,1284,341
14,17787,1256,338
14,17801,1313,347
15,17816,1317,349
14,17830,1325,348
14,17844,1355,349
15,17859,1344,347
14,17873,1328,345
14,17887,1348,353
15,17902,1305,348
15,17917,1292,345
15,17932,1295,344
14,17946,1347,353
14,17960,1360,355
14,17974,1330,353
14,17988,1341,354
15,18003,1290,346
15,18018,1299,348
15,18033,1349,357
15,18048,1303,347
15,18063,1320,350
15,18078,1342,355
14,18092,1342,355
15,18107,1289,350
15,18122,1250,347
15,18137,1275,352
14,18151,1323,360
15,18166,1327,364
15,18181,1302,354
15,18196,1347,360
15,18211,1309,353
14,18225,1253,340
15,18240,1243,339
15,18255,1225,338
15,18270,1172,330
15,18285,1202,340
15,18300,1176,336
15,18315,1232,344
14,18329,1274,350
15,18344,1278,349
15,18359,1257,344
15,18374,1250,345
14,18388,1283,351
15,18403,1248,344
15,18418,1280,346
14,18432,1376,357
15,18447,1309,347
15,18462,1299,344
15,18477,1342,350
15,18492,1298,346
15,18507,1267,345
15,18522,1263,348
15,18537,1230,343
15,18552,1257,348
15,18567,1330,359
14,18581,1211,337
15,18596,1185,336
15,18611,1227,343
14,18625,1265,345
15,18640,1287,351
14,18654,1288,350
14,18668,1255,345
15,18683,1273,347
15,18698,1309,349
15,18713,1303,348
15,18728,1243,339
15,18743,1205,332
14,18757,1200,334
15,18772,1204,334
15,18787,1237,338
15,18802,1247,342
15,18817,1239,339
15,18832,1252,340
14,18846,1246,338
15,18861,1252,338
15,18876,1249,340
14,18890,1259,344
15,18905,1261,345
14,18919,1254,337
15,18934,1266,341
14,18948,1217,334
14,18962,1214,338
14,18976,1156,328
14,18990,1143,326
14,19004,1198,335
14,19018,1271,345
15,19033,1269,347
15,19048,1229,337
15,19063,1216,335
15,19078,1234,340
14,19092,1267,342
14,19106,1233,339
15,19121,1182,329
14,19135,1161,329
14,19149,1138,323
15,19164,1175,329
15,19179,1212,337
14,19193,1195,334
15,19208,1160,331
14,19222,1183,334
15,19237,1163,331
14,19251,1127,322
15,19266,1183,332
15,19281,1203,332
14,19295,1203,333
14,19309,1189,334
14,19323,1221,337
15,19338,1193,335
15,19353,1208,337
14,19367,1184,333
15,19382,1224,338
15,19397,1272,346
15,19412,1178,330
17,19429,1183,337
15,19444,1188,338
14,19458,1144,327
15,19473,1147,329
15,19488,1178,331
15,19503,1120,322
14,19517,1177,333
14,19531,1207,336
15,19546,1245,341
14,19560,1232,339
15,19575,1211,335
15,19590,1253,341
14,19604,1176,331
14,19618,1234,341
14,19632,1216,339
15,19647,1251,343
15,19662,1241,341
14,19676,1239,337
14,19690,1236,335
15,19705,1285,346
15,19720,1274,345
15,19735,1244,343
15,19750,1218,336
15,19765,1252,341
14,19779,1254,343
15,19794,1308,350
15,19809,1292,345
15,19824,1287,346
15,19839,1318,354
14,19853,1307,350
15,19868,1287,344
15,19883,1277,344
15,19898,1220,334
14,19912,1210,334
15,19927,1249,344
15,19942,1289,348
14,19956,1246,343
14,19970,1238,338
14,19984,1287,348
15,19999,1308,349
15,20014,1245,339
15,20029,1265,343
15,20044,1299,345
14,20058,1326,348
15,20073,1338,348
15,20088,1296,344
15,20103,1266,340
14,20117,1234,336
14,20131,1277,343
15,20146,1392,359
15,20161,1396,357
15,20176,1361,349
15,20191,1327,342
15,20206,1304,343
14,20220,1316,341
14,20234,1336,344
14,20248,1373,351
15,20263,1421,360
15,20278,1420,359
