Runtime (ms):,40046
Average checktime (ms):,40.226501
Cubesize:,100
Devisions:,6
Total cells:,216

Time per collision check(ms),TimeStamp,Collisions Checked,Collisions
40,18884,806,383
44,18928,763,373
40,18968,737,369
41,19009,711,357
39,19048,729,363
40,19088,717,362
40,19128,710,363
40,19168,714,365
41,19209,707,369
40,19249,737,378
40,19289,727,383
40,19329,723,375
40,19369,752,390
40,19409,728,381
40,19449,717,372
40,19489,737,381
41,19530,772,385
40,19570,765,389
41,19611,728,378
40,19651,742,381
40,19691,736,379
41,19732,729,376
41,19773,745,383
41,19814,760,383
40,19854,772,386
40,19894,730,380
40,19934,660,354
39,19973,647,357
39,20012,671,366
40,20052,698,376
40,20092,703,372
43,20135,728,379
41,20176,725,381
39,20215,727,376
41,20256,741,387
40,20296,736,378
40,20336,723,372
40,20376,725,381
41,20417,716,378
40,20457,718,382
40,20497,727,386
41,20538,726,385
40,20578,727,384
42,20620,719,378
39,20659,698,372
40,20699,698,371
42,20741,696,368
40,20781,693,366
41,20822,721,378
41,20863,769,392
39,20902,779,389
41,20943,752,380
40,20983,744,382
40,21023,745,382
40,21063,765,390
40,21103,768,391
40,21143,766,388
41,21184,784,388
40,21224,806,395
40,21264,781,395
41,21305,738,382
41,21346,757,391
40,21386,763,393
42,21428,754,385
40,21468,750,392
40,21508,718,373
40,21548,688,367
40,21588,707,375
40,21628,717,375
40,21668,698,369
41,21709,675,364
41,21750,684,368
40,21790,701,379
41,21831,716,381
40,21871,782,398
40,21911,775,398
40,21951,793,404
41,21992,784,398
40,22032,811,393
41,22073,780,389
41,22114,767,388
41,22155,766,382
40,22195,789,392
41,22236,754,377
41,22277,706,364
39,22316,689,360
41,22357,709,371
40,22397,714,371
40,22437,735,372
40,22477,735,376
40,22517,760,383
41,22558,763,386
40,22598,776,386
41,22639,759,381
40,22679,736,378
41,22720,735,376
40,22760,743,375
40,22800,728,379
40,22840,704,371
40,22880,724,378
41,22921,764,397
41,22962,750,378
40,23002,743,381
41,23043,746,385
40,23083,742,386
41,23124,748,380
41,23165,756,385
40,23205,755,384
42,23247,790,393
41,23288,759,388
42,23330,751,386
41,23371,756,385
40,23411,773,398
39,23450,743,381
41,23491,699,367
40,23531,694,368
41,23572,701,379
39,23611,713,378
41,23652,744,389
41,23693,734,388
42,23735,716,373
40,23775,700,371
39,23814,684,365
39,23853,689,362
40,23893,698,366
40,23933,709,371
40,23973,705,364
39,24012,695,364
41,24053,698,363
41,24094,697,366
41,24135,701,367
43,24178,717,368
40,24218,719,367
41,24259,706,363
39,24298,723,367
39,24337,710,367
40,24377,691,364
40,24417,713,374
40,24457,721,378
39,24496,718,375
40,24536,730,381
40,24576,739,379
40,24616,752,381
41,24657,734,372
40,24697,735,370
41,24738,722,367
41,24779,783,387
40,24819,761,384
39,24858,737,376
40,24898,709,363
40,24938,691,360
40,24978,681,359
40,25018,726,376
40,25058,745,382
40,25098,697,365
41,25139,694,370
39,25178,680,361
40,25218,663,347
40,25258,683,362
40,25298,691,366
40,25338,714,370
40,25378,699,363
39,25417,678,354
40,25457,710,370
40,25497,729,374
40,25537,718,371
42,25579,709,367
39,25618,702,360
41,25659,673,352
41,25700,677,356
40,25740,715,366
41,25781,713,363
40,25821,689,358
41,25862,669,354
40,25902,657,348
41,25943,624,339
40,25983,653,350
40,26023,652,355
40,26063,652,353
40,26103,649,354
40,26143,656,357
40,26183,661,357
41,26224,665,354
40,26264,651,351
40,26304,703,361
39,26343,714,364
39,26382,724,369
40,26422,696,364
39,26461,667,353
40,26501,667,358
39,26540,664,357
41,26581,664,349
40,26621,667,354
40,26661,666,360
40,26701,667,357
40,26741,682,361
41,26782,704,364
40,26822,693,367
41,26863,707,368
40,26903,693,366
40,26943,662,356
40,26983,670,356
40,27023,664,353
40,27063,666,361
39,27102,673,359
39,27141,672,360
40,27181,664,356
40,27221,674,364
41,27262,685,363
40,27302,676,362
42,27344,697,371
40,27384,692,365
40,27424,694,365
39,27463,700,370
39,27502,701,372
40,27542,679,359
40,27582,690,365
39,27621,674,357
41,27662,689,362
40,27702,688,361
39,27741,742,378
40,27781,743,388
40,27821,762,391
40,27861,765,389
40,27901,739,380
41,27942,735,376
41,27983,726,375
41,28024,719,375
40,28064,733,375
40,28104,731,370
41,28145,712,369
40,28185,742,382
39,28224,736,371
40,28264,750,377
40,28304,755,378
41,28345,733,380
41,28386,714,375
40,28426,749,389
40,28466,761,381
40,28506,708,361
39,28545,680,360
40,28585,708,369
40,28625,718,374
41,28666,708,372
41,28707,705,369
40,28747,710,375
40,28787,721,379
41,28828,706,375
40,28868,692,374
42,28910,725,380
41,28951,765,394
41,28992,744,388
39,29031,766,395
39,29070,750,390
41,29111,725,384
40,29151,723,384
41,29192,717,378
40,29232,689,366
40,29272,671,360
42,29314,654,353
40,29354,668,360
39,29393,689,369
40,29433,704,374
40,29473,713,375
39,29512,710,371
39,29551,692,367
41,29592,739,388
41,29633,766,395
40,29673,768,390
41,29714,793,397
41,29755,827,412
41,29796,810,410
42,29838,768,392
41,29879,724,380
41,29920,726,385
40,29960,717,380
41,30001,683,367
40,30041,691,367
41,30082,699,372
42,30124,722,376
39,30163,710,371
40,30203,712,377
40,30243,739,382
39,30282,741,390
40,30322,731,377
40,30362,744,387
40,30402,714,376
41,30443,699,371
41,30484,721,379
40,30524,726,381
40,30564,691,369
40,30604,694,370
41,30645,702,369
41,30686,693,366
39,30725,690,364
40,30765,709,370
41,30806,704,373
40,30846,698,369
40,30886,702,378
40,30926,735,383
40,30966,777,397
40,31006,776,394
39,31045,799,396
40,31085,787,400
40,31125,773,384
40,31165,727,375
40,31205,775,397
41,31246,741,385
41,31287,739,382
41,31328,775,391
41,31369,793,395
40,31409,776,390
41,31450,771,382
41,31491,763,387
40,31531,774,392
40,31571,782,391
39,31610,764,382
41,31651,744,380
41,31692,727,375
40,31732,741,376
40,31772,754,378
40,31812,716,370
40,31852,714,370
40,31892,776,395
39,31931,808,402
40,31971,767,386
40,32011,754,379
40,32051,755,384
40,32091,712,371
40,32131,710,369
40,32171,740,383
43,32214,760,393
41,32255,775,391
41,32296,765,391
41,32337,741,373
41,32378,741,377
41,32419,723,377
42,32461,740,382
40,32501,763,389
40,32541,722,380
40,32581,702,372
40,32621,720,384
39,32660,756,383
39,32699,739,382
40,32739,768,384
41,32780,743,383
40,32820,746,385
39,32859,719,379
39,32898,697,373
41,32939,702,368
42,32981,744,383
40,33021,733,377
41,33062,750,383
41,33103,752,378
39,33142,741,376
40,33182,752,380
40,33222,758,387
39,33261,737,380
39,33300,724,379
40,33340,708,373
41,33381,687,367
41,33422,705,372
44,33466,740,384
40,33506,709,372
40,33546,687,367
39,33585,684,368
40,33625,691,374
40,33665,720,381
41,33706,715,379
40,33746,711,372
42,33788,726,375
41,33829,721,364
42,33871,697,363
40,33911,713,377
39,33950,709,375
40,33990,703,370
40,34030,685,368
39,34069,667,359
39,34108,657,360
41,34149,689,370
43,34192,693,371
43,34235,677,364
41,34276,669,369
40,34316,677,368
39,34355,672,359
39,34394,671,359
41,34435,674,358
41,34476,646,351
40,34516,648,353
40,34556,645,349
41,34597,661,356
39,34636,660,357
40,34676,681,362
39,34715,709,372
40,34755,718,369
39,34794,694,356
40,34834,704,366
41,34875,710,361
39,34914,686,352
40,34954,650,345
41,34995,659,351
40,35035,692,359
40,35075,665,344
40,35115,680,354
40,35155,684,354
41,35196,689,354
40,35236,670,353
40,35276,685,356
40,35316,664,345
41,35357,697,359
41,35398,688,352
40,35438,689,356
41,35479,709,365
41,35520,721,365
